Zone,Site,Parameter,No.samples,Median,Minimum,25%quartile,75%quartile,Maximum,Mean ,
North,FOU200,Ortho-phosphate (mg/L),3,0.015,0.015,0.015,0.015,,,
,,,,,,,,,,
North,MOU200,Water temperature (°C),19,10.9,5,7,16,18.5,11.5,
North,MOU200,Turbidity (NTU),20,<7,<7,<7,<7,71,11,
North,MOU200,Conductivity (uS/cm),20,50,20,40,69,99,53,
North,MOU200,pH,20,6.5,6,6.5,7,7.4,6.6,
North,MOU200,E. coli (counts/100 ml),10,20,0,0,100,200,52,
North,MOU200,Ortho-phosphate (mg/L),3,0.005,0.005,0.03,0.013,,,
North,MOU200,Dissolved oxygen (mg/L),4,10.8,8.6,9.7,11.6,12.3,10.6,
,,,,,,,,,,
North,MOU250,Water temperature (°C),9,13,5.3,9.5,16,19.6,12.9,
North,MOU250,Turbidity (NTU),9,<7,<7,<7,<7,<7,<7 ,
North,MOU250,Conductivity (uS/cm),9,168,99,149,243,320,190,
North,MOU250,pH,9,7,6.5,6.5,7,7.5,6.9,
North,MOU250,E. coil (counts/100 ml),9,20,0,0,99,660,122,
North,MOU250,Ortho-phosphate (mg/L),2,0.005,0.005,0.005,0.005,,,
North,MOU250,Dissolved oxygen (mg/L),2,10.3,8.2,12.4,10.3,,,
,,,,,,,,,,
North,MOU400,Water temperature (°C),20,12,5,8.3,15,20,12.2,
North,MOU400,Turbidity (NTU),20,<7,<7,<7,<7,18,8,
North,MOU400,Conductivity (uS/cm),20,60,20,45,76,113,62,
North,MOU400,pH,20,6.5,6,6.5,7,7.6,6.7,
North,MOU400,E. coli (counts/100 ml),10,70,20,40,120,200,86,
North,MOU400,Ortho-phosphate (mg/L),4,0.005,0,0.003,0.01,0.015,0.006,
North,MOU400,Dissolved oxygen (mg/L),5,10.4,9,9,10.7,12.4,10.3,
,,,,,,,,,,
North,MOU600,Water temperature (°C),19,11,5,7,16.5,20.5,11.8,
North,M0U600,Turbidity (NTU),20,<7,<7,<7,<7,18,8,
North,MOU600,Conductivity (uS/cm),19,70,30,50,90,124,72,
North,MOU600,pH,19,6.6,6,6.5,7,7.9,6.8,
North,MOU600,E. coil (counts/100 ml),10,84,0,40,260,400,143,
North,MOU600,Ortho-phosphate (mg/L),3,0.005,0.005,0.03,0.013,,,
North,MOU600,Dissolved oxygen (mg/L),4,10.3,8.5,9.3,11.4,12.3,10.3,
,,,,,,,,,,
North,MOU650,Water temperature (°C),11,11,5,6,16,20.5,11.5,
North,MOU650,Turbidity (NTU),11,<7,<7,<7,<7,8,<7 ,
North,MOU650,Conductivity (uS/cm),11,100,40,70,135,141,101,
North,MOU650,pH,11,6.5,6,6,7,7.4,6.6,
North,MOU650,E. coil (counts/100 ml),9,100,40,100,180,360,149,
North,MOU650,Ortho-phosphate (mg/L),6,0.01,0,0.005,0.015,0.03,0.012,
North,MOU650,Dissolved oxygen (mg/L),4,10.6,8.5,9.3,11.8,12.3,10.5,
,,,,,,,,,,
North,MOU700,Water temperature (°C),11,13,5.5,7,14,20.1,11.9,
North,MOU700,Turbidity (NTU),11,<7,<7,<7,<7,13,8,
North,MOU700,Conductivity (uS/cm),11,100,40,70,132,158,103,
North,MOU700,pH,11,6.5,6,6,7,7.4,6.7,
North,MOU700,E. coil (counts/100 ml),10,130,20,80,210,460,169,
North,MOU700,Ortho-phosphate (mg/L),5,0.012,0.015,0.015,0.005,0.005,6,
North,MOU700,Dissolved oxygen (mg/L),2,10,7.4,12.5,10,,,
,,,,,,,,,,
North,MOU850,Water temperature (°C),27,11.5,5.4,8.3,14,21.1,11.7,
North,MOU850,Turbidity (NTU),28,<7,<7,<7,<7,266,24,
North,MOU850,Conductivity (uS/cm),27,114,40,101,135,182,117,
North,MOU850,pH,25,7,6,6.5,7.5,7.9,6.9,
North,MOU850,E. coil (counts/100 ml),10,390,50,160,800,2000,661,
North,MOU850,Ortho-phosphate (mg/L),6,0.015,0.005,0.01,0.015,0.03,0.015,
North,MOU850,Dissolved oxygen (mg/L),18,10.3,8.6,9,10.9,12.3,10.2,
,,,,,,,,,,
West,PCK010,Water temperature (°C),20,12.5,8,10,14.5,18,12.5,
West,PCK010,Turbidity (NTU),20,<7,<7,<7,13,95,15,
West,PCK010,Conductivity (uS/cm),20,149,80,131,173,214,150,
West,PCK010,pH,20,6.3,5.5,6,6.5,7,6.3,
,,,,,,,,,,
West,PCK020,Water temperature (°C),20,12,8,9,13.5,15,11.5,
West,PCK020,Turbidity (NTU),20,<7,<7,<7,14,43,13,
West,PCK020,Conductivity (uS/cm),20,179,90,148,202,285,176,
West,PCK020,pH,20,6.5,6,6.5,6.8,7,6.6,
,,,,,,,,,,
West,PCK030,Water temperature (°C),20,12.3,7.5,9.3,14.8,18.0 .,12.3,
West,PCK030,Turbidity (NTU),20,<7,<7,<7,11,30,10,
West,PCK030,Conductivity (uS/cm),20,220,99,182,249,350,219,
West,PCK030,pH,20,6.5,6,6.5,7,7,6.6,
,,,,,,,,,,
Upper,RUS005,Water temperature (°C),70,8.5,3,6,11,16.5,8.6,
Upper,RUS005,Turbidity (NTU),72,0,0,0,0.3,2,0.2,
Upper,RUS005,Conductivity (uS/cm),72,58,39,51,68,100,60,
Upper,RUS005,pH,64,6.9,6,6.7,7.2,7.7,6.9,
,,,,,,,,,,
Upper,RUS010,Water temperature (°C),69,9,2.5,6,10.5,17,8.7,
Upper,RUS010,Turbidity (NTU),71,0,0,0,1,7,0.9,
Upper,RUS010,Conductivity (uS/cm),71,55,38,47,69,100,60,
Upper,RUS010,pH,63,6.8,5.5,6.6,7,7.6,6.8,
Upper,RUS010,E. coil (counts/100 ml),2,0,0,0,0,,,
Upper,RUS010,Ortho-phosphate (mg/L),2,0.008,0,0.015,0.008,,,
,,,,,,,,,,
Upper,RUS055,Water temperature (°C),14,12,7.5,10,17,18,12.9,
Upper,RUS055,Turbidity (NTU),12,<7,<7,<7,<7,<7,<7 ,
Upper,RUS055,Conductivity (uS/cm),10,47,30,39,68,78,51,
Upper,RUS055,pH,12,6,5.5,6,6.5,6.5,6.1,
Upper,RUS055,E. coil (counts/100 ml),4,32,6,11,106,164,58,
Upper,RUS055,Ortho-phosphate (mg/L),8,0.015,0.002,0.008,0.023,0.03,0.015,
,,,,,,,,,,
Upper,RUS060,Water temperature (°C),15,8,5,7,15,19,10.4,
Upper,RUS060,Turbidity (NTU),15,<7,<7,<7,<7,<7,<7 ,
Upper,RUS060,Conductivity (uS/cm),12,46,35,43,60,77,51,
Upper,RUS060,pH,15,6,5.5,6,6,6.5,6,
Upper,RUS060,E. coil (counts/100 ml),2,10,0,20,10,,,
Upper,RUS060,Ortho-phosphate (mg/L),3,0.015,0.015,0.015,0.015,,,
,,,,,,,,,,
Upper,RUS070,Water temperature (°C),12,9,5,7,12,19,10.1,
Upper,RUS070,Turbidity (NTU),12,<7,<7,<7,<7,<7,<7 ,
Upper,RUS070,Conductivity (uS/cm),10,47,36,43,58,79,52,
Upper,RU3070,pH,11,6,5.5,6,6,7,6,
Upper,ROS070,E. coli (counts/100 ml),2,70,20,120,70,,,
,,,,,,,,,,
Upper,RUS075,Water temperature (°C),6,8.5,5,7,10,15,9,
Upper,RUS075,Turbidity (NTU),6,<7,<7,<7,<7,18,9,
Upper,RUS075,Conductivity (uS/cm),6,76,65,72,90,147,88,
Upper,RUS075,pH,6,6,5.5,6,6.5,7,6.2,
,,,,,,,,,,
Upper,RUS080,Water temperature (°C),16,10.5,5,6,15,19,10.9,
Upper,RUS080,Turbidity (NTU),16,<7,<7,<7,<7,<7,<7 ,
Upper,RUS080,Conductivity (uS/cm),14,52,7,42,60,88,52,
Upper,RUS080,pH,15,6,5.5,5.5,6.5,60,9.6,
Upper,RUS080,E. coli (counts/100 ml),2,20,20,20,20,,,
Upper,RUS080,Ortho-phosphate (mg/L),2,0.015,0.015,0.015,0.015,,,
,,,,,,,,,,
Upper,RUS100,Water temperature (°C),14,11,5,7,18,19,11.8,
Upper,RUS100,Turbidity (NTU),14,<7,<7,<7,<7,<7,<7 ,
Upper,RUS100,Conductivity (uS/cm),11,51,39,42,74,86,56,
Upper,RUS100,pH,13,6,5,6,6.5,7,6.2,
Upper,RUS100,Ortho-phosphate (mg/L),2,0.008,0,0.015,0.008,,,
,,,,,,,,,,
Upper,WAT050,Turbidity (NTU),8,11,<7,<7,34,63,22,
Upper,WAT050,Conductivity (uS/cm),8,264,125,176,420,510,294,
Upper,WAT050,pH,8,6.8,6,6.5,7.5,7.5,6.9,
Upper,WAT050,Water temperature (°C),8,15.3,9.5,10,18,20,14.5,
,,,,,,,,,,
Upper,WAT055,Turbidity (NTU),6,31,<7,<7,39,48,27,
Upper,WAT055,Conductivity (uS/cm),6,309,215,239,470,510,342,
Upper,WAT055,pH,5,7,6,7,7.5,8,7.1,
Upper,WAT055,Water temperature (°C),6,12.3,10,11,14,17,12.8,
,,,,,,,,,,
Upper,WAT200,Water temperature (°C),27,11.7,4.7,9.5,14.7,19,12.3,
Upper,WAT200,Turbidity (NTU),26,10,<7,<7,15,175,20,
Upper,WAT200,Conductivity (uS/cm),27,320,120,220,390,490,315,
Upper,WAT200,pH,27,6.5,6,6.5,7,8,6.8,
Upper,WAT200,Dissolved oxygen (mg/L),16,9.4,8,8.6,10.2,12.7,9.5,
